method,budget_evals,graph_id,num_nodes,num_edges,initial_expected_cut,expected_cut,best_cut,initial_ratio,approximation_ratio,classical_ratio,retention_vs_classical,proposal_ms,refinement_ms,total_ms,nfev,nit,success
Heuristic initialization,5,42,16,18,9.120171428094359,9.126902054802223,15.0,0.608011428539624,0.6084601369868149,0.5922256290809862,1.027412707435545,0.009917013812810183,52.71566699957475,52.72558401338756,5,1,False
TQA linear-ramp initialization,5,42,16,18,11.97358222080359,12.062020066092456,15.0,0.7982388147202393,0.8041346710728304,0.5922256290809862,1.357818087543229,0.0033329706639051437,47.638375021051615,47.64170799171552,5,1,False
GNN-point predictor,5,42,16,18,8.84111737962177,8.913406601599716,15.0,0.589407825308118,0.5942271067733144,0.5922256290809862,1.0033795864178219,7.5569580076262355,46.43175000092015,53.98870800854638,5,1,False
Heuristic initialization,10,42,16,18,9.120171428094359,9.21320949854461,15.0,0.608011428539624,0.6142139665696406,0.5922256290809862,1.0371283112532226,0.0030410010367631912,87.93141698697582,87.93445798801258,10,5,False
TQA linear-ramp initialization,10,42,16,18,11.97358222080359,12.484600355024192,15.0,0.7982388147202393,0.8323066903349461,0.5922256290809862,1.4053878276536544,0.003374996595084667,91.4658330148086,91.46920801140368,10,4,False
GNN-point predictor,10,42,16,18,8.84111737962177,8.913406601599716,15.0,0.589407825308118,0.5942271067733144,0.5922256290809862,1.0033795864178219,7.5569580076262355,92.29804098140448,99.85499898903072,10,4,False
