budget_evals,method,num_nodes,num_edges,mean_initial_ratio,mean_ratio,std_ratio,mean_retention,mean_nfev,budget_hit_rate,median_proposal_ms,median_total_ms
5,Heuristic initialization,16.0,18.0,0.608011428539624,0.6084601369868149,0.0,1.027412707435545,5.0,1.0,0.009917013812810183,52.72558401338756
5,TQA linear-ramp initialization,16.0,18.0,0.7982388147202393,0.8041346710728304,0.0,1.357818087543229,5.0,1.0,0.0033329706639051437,47.64170799171552
5,GNN-point predictor,16.0,18.0,0.589407825308118,0.5942271067733144,0.0,1.0033795864178219,5.0,1.0,7.5569580076262355,53.98870800854638
10,Heuristic initialization,16.0,18.0,0.608011428539624,0.6142139665696406,0.0,1.0371283112532226,10.0,1.0,0.0030410010367631912,87.93445798801258
10,TQA linear-ramp initialization,16.0,18.0,0.7982388147202393,0.8323066903349461,0.0,1.4053878276536544,10.0,1.0,0.003374996595084667,91.46920801140368
10,GNN-point predictor,16.0,18.0,0.589407825308118,0.5942271067733144,0.0,1.0033795864178219,10.0,1.0,7.5569580076262355,99.85499898903072
